theta,Slope,Yilmaz,Steady
0.4,30.3866115,37.04812722,33.02668494
0.411111111,38.01727681,46.35162784,41.3203237
0.422222222,47.28079736,57.64594698,51.38868472
0.433333333,58.46937615,71.28734595,63.54935841
0.444444444,71.91783297,87.68404549,78.16625461
0.455555556,88.0084846,107.302176,95.65490687
0.466666667,107.1764391,130.6722321,116.4882266
0.477777778,129.9153273,158.3960612,141.2027328
0.488888889,156.7834962,191.154414,170.4052831
0.5,188.4106882,229.7150884,204.7803336
0.511111111,225.5052328,274.9416977,245.0977555
0.522222222,268.8617761,327.8030947,292.2212361
0.533333333,319.3695759,389.3834849,347.1172942
0.544444444,378.0213893,460.8932629,410.8649405
0.555555556,445.9229818,543.6806062,484.6660125
0.566666667,524.3032867,639.2438613,569.8562166
0.577777778,614.5252447,749.2447602,667.9169096
0.588888889,718.0973548,875.522503,780.4876531
0.6,836.6859668,1020.108746,909.379574
0.611111111,972.1283479,1185.243531,1056.589566
0.622222222,1126.446557,1373.392204,1224.315371
0.633333333,1301.862159,1587.263354,1414.971569
0.644444444,1500.811813,1829.827817,1631.206524
0.655555556,1725.963773,2104.338795,1875.920313
0.666666667,1980.235329,2414.353123,2152.283689
0.677777778,2266.811235,2763.753735,2463.758109
0.688888889,2589.163155,3156.773369,2814.116862
0.7,2951.070163,3598.01957,3207.467359
