h,Slope,Yilmaz,Steady
1,0.377705001,0.377672918,0.377672918
3,0.377313013,0.376876562,0.376876562
5,0.37631857,0.374883234,0.374883234
7,0.374623465,0.371570241,0.371570241
9,0.372198199,0.367001556,0.367001556
10,0.370717787,0.364303712,0.364303712
20,0.348590278,0.329845538,0.329845538
30,0.321824853,0.296653702,0.296653702
40,0.297649079,0.270586512,0.270586512
50,0.277500848,0.250417628,0.250417628
75,0.241014274,0.215855585,0.215855585
100,0.216763167,0.19364469,0.19364469
150,0.18594357,0.165837414,0.165837414
200,0.166553226,0.148467441,0.148467441
300,0.142495477,0.126980769,0.126980769
315,0.139840744,0.124612339,0.124612339
400,0.127531664,0.113634896,0.113634896
500,0.117007607,0.104253274,0.104253274
1000,0.089527712,0.079764982,0.079764982
2000,0.068496417,0.061026526,0.061026526
3000,0.058565163,0.052178257,0.052178257
4000,0.0524049,0.046689792,0.046689792
5000,0.048076476,0.042833404,0.042833404
6000,0.04480665,0.039920171,0.039920171
7000,0.042216171,0.037612201,0.037612201
8000,0.040093571,0.035721084,0.035721084
9000,0.038310067,0.034132083,0.034132083
10000,0.036782001,0.032770663,0.032770663
25000,0.025816569,0.023001088,0.023001088
50000,0.019751545,0.017597498,0.017597498
150000,0.012920341,0.011511286,0.011511286
250000,0.01060637,0.00944967,0.00944967
500000,0.008114641,0.007229682,0.007229682
750000,0.006938086,0.006181438,0.006181438
1000000,0.006208288,0.00553123,0.00553123
1250000,0.005695508,0.005074372,0.005074372
1500000,0.005308138,0.004729248,0.004729248
1750000,0.00500125,0.004455828,0.004455828
2000000,0.00474979,0.004231792,0.004231792
3000000,0.00406111,0.003618217,0.003618217
4000000,0.003633933,0.003237627,0.003237627
5000000,0.003333785,0.002970212,0.002970212
