Texture,thr,ths,alp,n,Ks,p
SAND,0.045,0.43,0.145,2.68,712.8,0.395
LOAMY SAND,0.057,0.41,0.124,2.28,350.2,0.41
SANDY LOAM,0.065,0.41,0.075,1.89,106.1,0.435
LOAM,0.078,0.43,0.036,1.56,24.96,0.451
SILT,0.034,0.46,0.016,1.37,6,
SILT LOAM,0.067,0.45,0.02,1.41,10.8,0.485
SANDY CLAY LOAM,0.1,0.39,0.059,1.48,31.44,0.42
CLAY LOAM,0.1,0.41,0.019,1.31,6.24,0.476
SILTY CLAY LOAM,0.089,0.43,0.01,1.23,1.68,0.477
SANDY CLAY,0.1,0.38,0.027,1.23,2.88,0.426
SILTY CLAY,0.07,0.36,0.005,1.09,0.48,0.492
CLAY,0.068,0.38,0.008,1.09,4.8,0.482
