h,WB_Slope,WB_Yilmaz,WB_Steady
1,0.547155973,0.547141992,0.547141992
3,0.547024277,0.546877804,0.546877804
5,0.546736622,0.546304268,0.546304268
7,0.546284625,0.545412571,0.545412571
9,0.545666498,0.544211276,0.544211276
10,0.545295841,0.543500601,0.543500601
20,0.53957073,0.533306968,0.533306968
30,0.531256303,0.520422906,0.520422906
40,0.521898753,0.50765169,0.50765169
50,0.512530724,0.496032755,0.496032755
75,0.491611869,0.472526819,0.472526819
100,0.474821528,0.455022737,0.455022737
150,0.450156901,0.430384933,0.430384933
200,0.432681606,0.413333149,0.413333149
300,0.408703633,0.390199014,0.390199014
315,0.405886492,0.387492931,0.387492931
400,0.392328898,0.374491531,0.374491531
500,0.380031513,0.362721033,0.362721033
1000,0.344124736,0.328412851,0.328412851
2000,0.311556553,0.297324055,0.297324055
3000,0.293947405,0.280518108,0.280518108
4000,0.28205955,0.269172974,0.269172974
5000,0.273170453,0.260689829,0.260689829
6000,0.266115791,0.253957394,0.253957394
7000,0.260293441,0.248401009,0.248401009
8000,0.255352938,0.243686199,0.243686199
9000,0.251072987,0.239601773,0.239601773
10000,0.247305254,0.236006169,0.236006169
25000,0.216832709,0.206925836,0.206925836
50000,0.196301554,0.187332724,0.187332724
150000,0.167668566,0.160007949,0.160007949
250000,0.155816677,0.148697562,0.148697562
500000,0.141062916,0.134617886,0.134617886
750000,0.133088903,0.127008198,0.127008198
1000000,0.12770614,0.121871368,0.121871368
1250000,0.123681327,0.118030445,0.118030445
1500000,0.120487159,0.114982216,0.114982216
1750000,0.117850973,0.112466474,0.112466474
2000000,0.115614072,0.110331775,0.110331775
3000000,0.109078632,0.104094933,0.104094933
4000000,0.104666961,0.099884827,0.099884827
5000000,0.101368256,0.096736836,0.096736836
