ID,Sample,Country,BD,x,lnx,y
1,Benin1,Benin,1.46,0.01,0.1,0.41
2,Benin1,Benin,1.46,10,2.302585093,0.386
3,Benin1,Benin,1.46,31.6227766,3.453877639,0.195
4,Benin1,Benin,1.46,100,4.605170186,0.105
5,Benin1,Benin,1.46,199.5262315,5.295945714,0.083
6,Benin1,Benin,1.46,501.1872336,6.216979751,0.074
7,Benin1,Benin,1.46,2511.886432,7.828789316,0.051
8,Benin1,Benin,1.46,15848.93192,9.670857391,0.047
9,Benin2,Benin,1.49,0.01,0.1,0.421
10,Benin2,Benin,1.49,10,2.302585093,0.401
11,Benin2,Benin,1.49,31.6227766,3.453877639,0.208
12,Benin2,Benin,1.49,100,4.605170186,0.12
13,Benin2,Benin,1.49,199.5262315,5.295945714,0.097
14,Benin2,Benin,1.49,501.1872336,6.216979751,0.087
15,Benin2,Benin,1.49,2511.886432,7.828789316,0.079
16,Benin2,Benin,1.49,15848.93192,9.670857391,0.075
17,Benin3,Benin,1.56,0.01,0.1,0.345
18,Benin3,Benin,1.56,10,2.302585093,0.333
19,Benin3,Benin,1.56,31.6227766,3.453877639,0.289
20,Benin3,Benin,1.56,100,4.605170186,0.246
21,Benin3,Benin,1.56,199.5262315,5.295945714,0.224
22,Benin3,Benin,1.56,501.1872336,6.216979751,0.211
23,Benin3,Benin,1.56,2511.886432,7.828789316,0.198
24,Benin3,Benin,1.56,15848.93192,9.670857391,0.19
25,Italy4,Italy,0.497,0.01,0.1,0.636
26,Italy4,Italy,0.497,10,2.302585093,0.604
27,Italy4,Italy,0.497,31.6227766,3.453877639,0.521
28,Italy4,Italy,0.497,100,4.605170186,0.356
29,Italy4,Italy,0.497,199.5262315,5.295945714,0.299
30,Italy4,Italy,0.497,501.1872336,6.216979751,0.256
31,Italy4,Italy,0.497,2511.886432,7.828789316,0.22
32,Italy4,Italy,0.497,15848.93192,9.670857391,0.206
